siteName,siteStatus,siteState,siteAddress,siteZip,daysofOperation,lunchTime,_geoloc/lat,_geoloc/lng
24 El Monte Lane,Open,WA,"24 El Monte Ln, Elma, WA ",,"M,T,W,TH",1:15PM-1:45PM,46.9990129,-123.4440359
Murray Place,Open,WA,"undefined Murray Pl, Elma, WA undefined",,"M,T,W,TH",12:45PM-1:15PM,,
Star Lake Clubhouse,Open,WA,"1137 Star Lake Dr, Elma, WA 98541",98541,"M,T,W,TH",12:30PM-1:00PM,47.1513921,-123.329049
Summit Pacific Medical Center (Back),Open,WA,"600 Main St, Elma, WA ",,"M,T,W,TH",11:40AM-12:10PM,,
Grays Harbor YMCA,Open,WA,"2500 Simpson Ave, Hoquiam, WA ",,"M,T,W,TH",11:15AM-11:45AM,46.9751859,-123.8582812
Lincoln Elementary,Open,WA,"700 Wood Ave, Hoquiam, WA 98550",98550,"M,T,W,TH",11:15AM-11:45AM,46.999337,-123.9040305
Central Elementary,Open,WA,"310 Simpson Ave, Hoquiam, WA ",,"M,T,W,TH",12:00PM-12:30PM,46.9751859,-123.8582812
Emerson Elementary,Open,WA,"101 Emerson undefined, Hoquiam, WA 98550",98550,"M,T,W,TH",12:00PM-12:30PM,46.98097480000001,-123.893857
Pacific Beach Elementary,Open,WA,"11 4th St, North Beach, WA 98631",98631,"M,T,W,TH",11:00AM-1:00PM,46.3678618,-124.0534543
Ocean Shores Elementary,Open,WA,"300 Mt Olympus Ave, North Beach, WA 98569",98569,"M,T,W,TH",11:00AM-1:00PM,46.9653146,-124.1450897
North Beach Junior Senior High School,Open,WA,"336 State Rte, North Beach, WA ",,"M,T,W,TH",11:00AM-1:00PM,,
Mill Creek Park,Open,WA,"5th Street and B Street, Cosmopolis",,"M,T,W,TH",10:45AM-11:00AM,,
Toy Room Child Care Bus Stop,Open,WA,"111 I St, North River, WA ",,"M,T,W,TH",11:05AM-11:20AM,46.7456527,-123.8904443
Holly Ln & Altenau,Open,WA,"Holly Ln and Altenau St, Cosmopolis",,"M,T,W,TH",11:25AM-11:40AM,,
Franklin Hill Park,Open,WA,"Franklin Drive and Paisley Way, Cosmopolis",,"M,T,W,TH",11:45-12:00PM,,
Oakville Elementary School Cafeteria,Open,WA,"103 School St, Oakville, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Satsop Post Office,Open,WA,"102 5th St, Satsop, WA ",,"M,T,W,TH",12:30PM-1:00PM,47.0017816,-123.4830127
Taholah School,Open,WA,"600 Chitwhin Dr, Taholah, WA 98587",98587,"M,T,W,TH",10:00AM-10:30AM,47.3447142,-124.2874016
Q Village (Bus Stop),Open,WA,"Quinault & 2nd, Taholah",,"M,T,W,TH",10:30AM-11:00AM,,
Wishkah Fire Station (Gravel parking lot closest to school),Open,WA,"4660 Wishkah Rd, Wishkah Valley, WA ",,"M,T,W,TH",10:00AM-10:10AM,,
Red Rooster (Parking lot on Highway 101),Open,WA,"2803 US Hwy, Wishkah Valley, WA 98520",98520,"M,T,W,TH",10:40AM-10:50AM,47.1174812,-123.7710343
Stover Road on the East Hoquiam,Open,WA,"Stover Road & East Hoquiam Road, Hoquiam",,"M,T,W,TH",11:05AM-11:15AM,,
Wishkah Valley Community Church (Parking lot),Open,WA,"4281 Wishkah Rd, Wishkah Valley, WA ",,"M,T,W,TH",11:30AM-11:40AM,,
Aberdeen Gardens Road Bridge,Open,WA,Aberdeen Gardens Road & Riverside Rd E,,"M,T,W,TH",11:45AM-11:55AM,,
Coupeville High School Commons,Open,WA,"501 Main St, Coupeville, WA 98239",98239,"M,T,W,TH",10:00AM-11:00AM,48.2166961,-122.6861419
Broad View Elementary,Open,WA,"473 Fairhaven Dr, Oak Harbor, WA ",,"M,T,W,TH",10:00AM-2:00PM,,
Crescent Harbor Elementary,Open,WA,"350 E Cres, Oak Harbor, WA 98277",98277,"M,T,W,TH",10:00AM-2:00PM,48.28829469999999,-122.6484205
Olympic View Elementary,Open,WA,"380 Regatta Dr, Oak Harbor, WA 98277",98277,"M,T,W,TH",10:00AM-2:00PM,48.2937877,-122.6357831
South Whidbey High School (Parking lot at the doors to the SWHS kitchen),Open,WA,"5675 Maxwelton Rd, South Whidbey, WA 98236",98236,"M,T,W,TH",11:00AM-1:00PM,47.940566,-122.4419057
Salish Coast Elementary,Open,WA,"1637 Grant St, Port Townsend, WA ",,"M,T,W,TH",9:00AM-11:00AM,,
Port Townsend High School,Open,WA,"1500 Van Ness St, Port Townsend, WA 98368",98368,"M,T,W,TH",9:00AM-11:00AM,48.1175927,-122.7679782
Jefferson County Airport,Open,WA,"191 Airport Cutoff Rd, Port Townsend, WA ",,"M,T,W,TH",9:00AM-11:00AM,48.0579422,-122.8062489
Cape George Fire Hall,Open,WA,"3850 Cape George Rd, Port Townsend, WA 98368",98368,"M,T,W,TH",9:00AM-11:00AM,48.1026837,-122.802271
Quilcene School,Open,WA,"294715 US Hwy, Quilcene, WA 98376",98376,"M,T,W,TH",10:00AM-12:00PM,47.8223137,-122.8757198
Coyle Fire Station,Open,WA,"60 Whitney Rd, Quilcene, WA ",,"M,T,W,TH",10:15AM-10:45AM,47.7090514,-122.7905546
The Laurel B. Johnson Community Center,Open,WA,"923 Hazel Point Rd, Quilcene, WA ",,"M,T,W,TH",10:50AM-11:20AM,,
Dabob Fire Station,Open,WA,"3281 Dabob Rd, Quilcene, WA ",,"M,T,W,TH",11:45AM-12:15PM,47.8873852,-122.8237789
Faith Farm,Open,WA,"undefined US Hwy, Quilcene, WA undefined",,"M,T,W,TH",10:15AM-10:45AM,,
Lake Leland (Near docks),Open,WA,"undefined Lake Leland Park Rd, Quilcene, WA undefined",,"M,T,W,TH",10:50AM-11:20AM,,
Discovery Bay Store,Open,WA,"282332 US Hwy, Quilcene, WA 98376",98376,"M,T,W,TH",11:45AM-12:15PM,47.8223137,-122.8757198
Linger Longer Marina,Open,WA,"1731 Linger Longer Rd, Quilcene, WA 98376",98376,"M,T,W,TH",10:15AM-10:45AM,47.827908,-122.875557
ALPAC Elementary,Open,WA,"310 Milwaukee Blvd, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.26730200000001,-122.25016
Arthur Jacobsen Elementary,Open,WA,"29205 132nd Ave, Auburn, WA 98092",98092,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.3263263,-122.1649834
Auburn High School,Open,WA,"711 Main St, Auburn, WA 98002",98002,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.307915,-122.216081
Auburn Mountainview High School,Open,WA,"28900 124th Ave, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,,
Auburn Riverside High School,Open,WA,"501 Oravetz Rd, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,,
Auburn YMCA,Open,WA,"1620 Perimeter Rd, Auburn, WA 98001",98001,"M,T,W,TH,F",11:00AM-12:00PM,47.28864009999999,-122.243186
Cascade Middle School,Open,WA,"1015 24th St, Auburn, WA 98002",98002,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.2873977,-122.2099151
Chinook Elementary,Open,WA,"3502 Auburn Way, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.30732279999999,-122.2284532
Dale Turner YMCA,Open,WA,"19290 Aurora Ave, Auburn, WA ",,"M,T,W,TH,F",12:00PM-12:30PM,47.30732279999999,-122.2284532
Dick Scobee Elementary,Open,WA,"1825 K St, Auburn, WA 98002",98002,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.3202946,-122.2159361
Evergreen Heights Elementary,Open,WA,"5602 316th undefined, Auburn, WA 98092",98092,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.31892389999999,-122.180624
Gildo Rey Elementary,Open,WA,"1005 37th St, Auburn, WA 98002",98002,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.2758003,-122.2177388
Hazelwood Elementary,Open,WA,"11815 304th St, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,,
Ilalko Elementary,Open,WA,"301 Oravetz Pl, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,,
Lake View Elementary,Open,WA,"16401 318th undefined, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,,
Lakeland Hills Elementary,Open,WA,"1020 Evergreen Way, Auburn, WA 98002",98002,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.32149159999999,-122.2243046
Lea Hill Elementary,Open,WA,"30908 124th Ave, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,,
Mt Baker Middle School,Open,WA,"620 37th St, Auburn, WA 98002",98002,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.2758003,-122.2177388
Olympic Middle School,Open,WA,"839 21st St, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,,
Pioneer Elementary,Open,WA,"2301 M St, Auburn, WA 98001",98001,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.2992676,-122.2449114
Rainier Middle School,Open,WA,"30620 116th Ave, Auburn, WA ",,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.3316578,-122.1869199
West Auburn High School,Open,WA,"401 Main St, Auburn, WA 98002",98002,"M,T,W,TH",8:30am-9:30am AND 11:00-12:30pm,47.307915,-122.216081
"Black Diamond Elementary ***Starting Wednesday, 3/18",Open,WA,"25314 Baker St, East King County, WA ",,"M,T,W,TH",111:00am-12:30am,47.57836,-122.2930203
"Enumclaw High School ***Starting Wednesday, 3/18",Open,WA,"226 Semanski St, East King County, WA 98022",98022,"M,T,W,TH",111:00am-12:30am,47.19936209999999,-122.005542
"Enumclaw King County Library ***Starting Wednesday, 3/18",Open,WA,"1700 1st St, East King County, WA ",,"M,T,W,TH",111:00am-12:30am,47.5480339,-121.9836029
Andrew’s Glen Apartments,Open,WA,"4220 Factoria Blvd, East King County, WA 98006",98006,"M,T,W,TH",12:00PM-12:15PM,47.5682842,-122.1693461
Andmore Elementary,Open,WA,"16616 32nd St, East King County, WA 98112",98112,"M,T,W,TH",12:15PM-12:30PM,47.6242408,-122.2910903
August Wilson Place,Open,WA,"204 111th Ave, East King County, WA 98070",98070,"M,T,W,TH",12:30PM-12:45PM,47.40927500000001,-122.4763908
Bennett Elementary,Open,WA,"17900 16th St, East King County, WA 98112",98112,"M,T,W,TH",12:00PM-12:15PM,47.6298012,-122.3112489
Central Park East Apartments,Open,WA,"15207 16th Pl, East King County, WA 98112",98112,"M,T,W,TH",12:00PM-12:15PM,47.6298012,-122.3112489
Chalet Apartments (at the circle),Open,WA,"145th Pl SE & 146th Ave SE, Bellevue",,"M,T,W,TH",12:30PM-12:45PM,,
Cherry Crest Elementary ,Open,WA,"12400 32nd St, East King County, WA 98112",98112,"M,T,W,TH",12:15PM-12:30PM,47.6242408,-122.2910903
Clyde Hill Elementary,Open,WA,"9601 24th St, East King County, WA 98112",98112,"M,T,W,TH",12:15PM-12:30PM,47.6322126,-122.3016085
Eastgate Elementary ,Open,WA,"4255 153rd Ave, East King County, WA ",,"M,T,W,TH",12:00PM-12:15PM,,
Eastside Terrace Apartments,Open,WA,"147th Pl NE & NE 8th St, Bellevue",,"M,T,W,TH",12:55PM-1:00PM,,
Emerald Ridge Apartments,Open,WA,"3010 118th Ave, East King County, WA 98034",98034,"M,T,W,TH",12:30PM-12:45PM,47.70631849999999,-122.1828745
Enatai Elementary ,Open,WA,"10700 25th St, East King County, WA 98112",98112,"M,T,W,TH",12:15PM-12:30PM,47.6312672,-122.3003076
Hopelink Place (at 102nd Ave),Open,WA,"10116 6th St, East King County, WA 98005",98005,"M,T,W,TH",12:00PM-12:15PM,47.6271701,-122.1786504
Landmark Apartments,Open,WA,"16330 11th St, East King County, WA ",,"M,T,W,TH",12:00PM-12:15PM,47.63507389999999,-122.3180701
Medina Elementary ,Open,WA,"8001 8th St, East King County, WA ",,"M,T,W,TH",12:45PM-1:00PM,47.5480339,-121.9836029
Newport Heights Elementary,Open,WA,"5225 119th Ave, East King County, WA ",,"M,T,W,TH",12:00PM-12:15PM,47.4964909,-122.351871
North Bellevue Community Center,Open,WA,"4063 148th Ave, East King County, WA ",,"M,T,W,TH",12:30PM-12:45PM,47.65626640000001,-122.1433253
Overlake Park and Ride (at the 2600 Crossing),Open,WA,"2650 152nd Ave, East King County, WA ",,"M,T,W,TH",12:50PM-1:05PM,,
Piedmont Apartments,Open,WA,"1200 155th Ave, East King County, WA ",,"M,T,W,TH",12:40PM-12:55PM,47.7406525,-122.2447995
Redmond Park Apartments,Open,WA,"14700 35th St, East King County, WA 98112",98112,"M,T,W,TH",12:50PM-1:05PM,47.6205115,-122.2879257
Sammamish View Apartments (at Eastgate turnaround),Open,WA,"16160 Eastgate Way, East King County, WA 98006",98006,"M,T,W,TH",12:25PM-12:40PM,47.5730972,-122.1353508
Sherwood Forest Elementary ,Open,WA,"16411 24th St, East King County, WA 98112",98112,"M,T,W,TH",12:50PM-1:05PM,47.6322126,-122.3016085
Somerset Elementary ,Open,WA,"14100 Somerset Blvd, East King County, WA 98006",98006,"M,T,W,TH",12:25PM-12:40PM,47.556171,-122.1588613
Spiritridge Elementary,Open,WA,"16401 24th St, East King County, WA 98112",98112,"M,T,W,TH",12:00PM-12:15PM,47.6322126,-122.3016085
Spiritwood Manor,Open,WA,"17222 8th St, East King County, WA ",,"M,T,W,TH",12:00PM-12:15PM,47.5480339,-121.9836029
St Peter’s United Methodist Church,Open,WA,"17222 8th St, East King County, WA ",,"M,T,W,TH",12:25PM-12:40PM,47.5480339,-121.9836029
The Club Teen Center,Open,WA,"15238 Lake Hills Blvd, East King County, WA ",,"M,T,W,TH",12:30PM-12:45PM,47.5963559,-122.1426392
The Court at Crossroads Apartments,Open,WA,"15616 15th St, East King County, WA ",,"M,T,W,TH",12:25PM-12:35PM,47.6300229,-122.3125278
The Trails of Redmond (at 40th St Entrance),Open,WA,"16539 35th Ct, East King County, WA 98112",98112,"M,T,W,TH",12:25PM-12:40PM,47.6205115,-122.2879257
Tillicum Middle School,Open,WA,"1280 160th Ave, East King County, WA ",,"M,T,W,TH",12:15PM-12:30PM,,
Tyee Middle School,Open,WA,"13630 Allen Rd, East King County, WA 98004",98004,"M,T,W,TH",12:00PM-12:15PM,47.6105521,-122.1913103
Wilburton Elementary ,Open,WA,"12300 Main St, East King County, WA 98005",98005,"M,T,W,TH",12:45PM-1:10PM,47.6271701,-122.1786504
Woodridge Elementary,Open,WA,"12619 20th Pl, East King County, WA 98112",98112,"M,T,W,TH",12:45PM-1:00PM,47.6306162,-122.306001
Sammamish High School,Open,WA,"100 140th Ave, East King County, WA ",,"M,T,W,TH",11:00am-12:00pm,47.64388599999999,-122.1535273
Lake Hills Elementary,Open,WA,"100 140th Ave, East King County, WA ",,"M,T,W,TH",11:00am-12:00pm,47.64388599999999,-122.1535273
Stevenson Elementary,Open,WA,"14220 8th St, East King County, WA ",,"M,T,W,TH",11:00am-12:00pm,47.5480339,-121.9836029
Finn Hill Middle School,Open,WA,"8040 132nd St, East King County, WA 98146",98146,"M,T,W,TH",10:30AM-12:00PM,47.4848673,-122.3418775
Inglewood Middle School,Open,WA,"24120 8th St, East King County, WA ",,"M,T,W,TH",10:30AM-12:00PM,47.5480339,-121.9836029
Kamiakin Middle School,Open,WA,"14111 132nd Ave, East King County, WA 98146",98146,"M,T,W,TH",10:30AM-12:00PM,47.4848673,-122.3418775
Redmond Middle School ,Open,WA,"10055 166th Ave, East King County, WA ",,"M,T,W,TH",10:30AM-12:00PM,47.47041489999999,-122.1183659
Rose Hill Middle School,Open,WA,"13505 75th St, East King County, WA ",,"M,T,W,TH",10:30AM-12:00PM,,
Timberline Middle School,Open,WA,"9900 Redmond Ridge Dr, East King County, WA 98053",98053,"M,T,W,TH",10:30AM-12:00PM,47.69130879999999,-122.0195703
Adelaide Elementary School ,Open,WA,"1635 304th St Federal Way, Federal Way, WA 98023",98023,"M,T,W,TH",11:30AM – 12:00AM,47.3287207,-122.3563999
Appian Way ,Open,WA,"25818 26th Pl, Federal Way, WA ",,"M,T,W,TH",12:20PM – 1:25PM,,
Camelot Square,Open,WA,"3001 288 St, Federal Way, WA ",,"M,T,W,TH",10:45-11:50am,47.3393845,-122.2948607
Crestview West,Open,WA,"27912 Pacific Hwy, Federal Way, WA ",,"M,T,W,TH",1:55-3:00pm,47.31101049999999,-122.3134965
Decatur High School,Open,WA,"2800 320th St Federal Way, Federal Way, WA 98003",98003,"M,T,W,TH",10:00AM – 12:00PM,47.31231229999999,-122.3009232
Federal Way High School,Open,WA,"30611 16th Ave S Federal Way, Federal Way, WA 98003",98003,"M,T,W,TH",10:00AM – 12:00PM,47.2917625,-122.3128756
Mark Twain Elementary School ,Open,WA,"2450 Star Lake Rd Federal Way, Federal Way, WA ",,"M,T,W,TH",11:30AM – 12 PM,,
Thomas Jefferson High School ,Open,WA,"4248 288th St, Federal Way, WA ",,"M,T,W,TH",10:00AM – 12:00PM,47.3393845,-122.2948607
Todd Beamer High School ,Open,WA,"35999 16th Ave S Federal Way, Federal Way, WA 98003",98003,"M,T,W,TH",10:00AM – 12:00PM,47.2917625,-122.3128756
Twin Lakes Elementary School ,Open,WA,"4400 320th St Federal Way, Federal Way, WA 98003",98003,"M,T,W,TH",11:30AM – 12 PM,47.31231229999999,-122.3009232
Encore Apartment Homes ,Open,WA,"125 Campus Dr Federal Way, Federal Way, WA 98023",98023,"M,T,W,TH",12:30PM – 1:00PM,47.2902539,-122.3356341
Glen Park ,Open,WA,"952 Campus Dr Federal Way, Federal Way, WA 98023",98023,"M,T,W,TH",11:30AM – 12:00PM,47.2902539,-122.3356341
Pavilion,Open,WA,"1900 Campus Dr Federal Way, Federal Way, WA 98023",98023,"M,T,W,TH",12:30PM – 1:00PM,47.2902539,-122.3356341
View at the Lake ,Open,WA,"30602 Pacific Highway S Federal Way, Federal Way, WA 98003",98003,"M,T,W,TH",12:30PM – 1:00PM,47.31726399999999,-122.3153766
Good Shepherd Episcopal Church ,Open,WA,"345 312th St Federal Way, Federal Way, WA 98023",98023,"M,T,W,TH",12:30PM – 1:00PM,47.322831,-122.335345
Kitts Corner,Open,WA,"1201 336th St, Federal Way, WA ",,"M,T,W,TH",10:45-11:50am,,
Uptown Square Apts,Open,WA,"1066 320th St, Federal Way, WA ",,"M,T,W,TH",12:20-1:25pm,,
Campus View Apts,Open,WA,"163 340th St, Federal Way, WA 98023",98023,"M,T,W,TH",1:55-3:00pm,47.297331,-122.3708943
Enchanted Woods,Open,WA,"2020 360th St, Federal Way, WA ",,"M,T,W,TH",10:45-11:50am,,
Park 16,Open,WA,"35703 16th Ave, Federal Way, WA 98003",98003,"M,T,W,TH",12:20-1:25pm,47.2840821,-122.3135264
Westway,Open,WA,"33400 21st Ave, Federal Way, WA ",,"M,T,W,TH",1:55-3:00pm,,
Appian Way,Open,WA,"25818 26th Pl, Federal Way, WA ",,"M,T,W,TH",12:20-1:25pm,,
Central Office,Open,WA,"15675 Ambaum Blvd, Highline, WA 98166",98166,"M,T,W,TH",12:00PM-12:30PM,47.462265,-122.337941
SW Boys and Girls Club,Open,WA,"9800 8TH Ave, Highline, WA 98168",98168,"M,T,W,TH",8:00AM-9:00AM,47.50348229999999,-122.3225678
Para Los Ninos,Open,WA,"425 144th St, Highline, WA ",,"M,T,W,TH",11:30AM-12:00PM,47.474343,-122.290999
Lake Burien Presbyterian Church,Open,WA,"15003 14th Ave, Highline, WA ",,"M,T,W,TH",11:00PM-11:30PM,47.50533679999999,-122.3524618
The Alcove at Seathurst Apartments,Open,WA,"14001 Ambaum Blvd SW, Burien (between buildings 2 and 4)",,"M,T,W,TH",12:00PM-12:30PM,,
Steve Cox Memorial Park,Open,WA,"1321 102nd undefined, Highline, WA ",,"M,T,W,TH",12:00PM-12:30PM,47.5118921,-122.3537054
Glacier Middle School,Open,WA,"2450 142nd St, Highline, WA 98168",98168,"M,T,W,TH",12:00PM-12:30PM,47.4761098,-122.3007665
Pacific Middle School,Open,WA,"22705 24th Pl, Highline, WA ",,"M,T,W,TH",12:00PM-12:30PM,,
White Center Heights ,Open,WA,"10015 6th Ave, Highline, WA ",,"M,T,W,TH",12:30PM-1:00PM,,
Big Picture Schools,Open,WA,"440 186th St, Highline, WA 98148",98148,"M,T,W,TH",11:00-11:30am,47.4369812,-122.3280792
Cascade Middle School,Open,WA,"11212 10th Ave, Highline, WA ",,"M,T,W,TH",12:00-12:30pm,,
Chinook Middle School,Open,WA,"18650 42nd Ave, Highline, WA 98116",98116,"M,T,W,TH",7:30-9:00am,47.56084,-122.3849734
Evergreen High School,Open,WA,"830 116th St, Highline, WA 98146",98146,"M,T,W,TH",7:30-9:00am,47.4991428,-122.3550609
Glacier Middle School,Open,WA,"2450 142nd St, Highline, WA 98168",98168,"M,T,W,TH",12:00-12:30pm,47.4761098,-122.3007665
Highline Public Schools – Central Office,Open,WA,"15676 Ambaum Blvd, Highline, WA 98166",98166,"M,T,W,TH",12:00-12:30pm,47.462265,-122.337941
Highline High School,Open,WA,"615 200th St, Highline, WA ",,"M,T,W,TH",11:00-11:30am,,
Madrona Elementary,Open,WA,"20301 32nd Ave, Highline, WA 98198",98198,"M,T,W,TH",12:30-1:00pm,47.4201549,-122.2930376
"McMicken Hts Park ***Starting Tuesday, 3/17",Open,WA,"S 166th St & 40th Ave S, SeaTac",,"M,T,W,TH",11:30-12:00pm,,
Midway Park,Open,WA,"S 221st St & 29th Ave S, Des Moines",,"M,T,W,TH",12:30-1:00pm,,
Mount Rainier High School,Open,WA,"22450 19th Ave, Highline, WA ",,"M,T,W,TH",11:00-11:30am,,
Pacific Middle School,Open,WA,"22705 24th Pl, Highline, WA ",,"M,T,W,TH",12:00-12:30pm,,
Parkside Elementary,Open,WA,"2104 247th St, Highline, WA ",,"M,T,W,TH",12:00-12:30pm,47.3805196,-122.3048246
"Pine Ridge Apts ***Starting Tuesday, 3/17",Open,WA,"3725 180th St, Highline, WA 98168",98168,"M,T,W,TH",1:00-1:30pm,47.4734324,-122.3242911
Sylvester Middle School,Open,WA,"16222 Sylvester Rd, Highline, WA 98166",98166,"M,T,W,TH",12:00-12:30pm,47.4570693,-122.3398358
Tyee High School,Open,WA,"4424 188th St, Highline, WA ",,"M,T,W,TH",11:00-11:30pm,47.4343996,-122.2816938
White Center Heights Elementary,Open,WA,"10015 6th Ave, Highline, WA ",,"M,T,W,TH",12:30-1:00pm,,
Willow Lake Apts,Open,WA,"3002 32nd Ave, Highline, WA 98198",98198,"M,T,W,TH",11:45am-12:15pm,47.4201549,-122.2930376
"Windsor Heights Apt ***Starting Tuesday, 3/17",Open,WA,"17229 32nd Ave, Highline, WA 98198",98198,"M,T,W,TH",12:15-12:45pm,47.4201549,-122.2930376
Carriage Crest Elementary,Open,WA,"18235 140th Ave, Kent, WA ",,"M,T,W,TH,F","M,W,F 10:00AM-11:00AM",,
Cedar Heights Middle School,Open,WA,"19640 272nd St, Kent, WA ",,"M,T,W,TH,F","M,W,F 10:00AM-11:00AM",47.3577758,-122.2920778
Covington Elementary,Open,WA,"25811 156th Ave, Kent, WA 98042",98042,"M,T,W,TH,F","M,W,F 10:00AM-11:00AM",47.366371,-122.133593
Kent Elementary,Open,WA,"24700 64th Ave, Kent, WA 98032",98032,"M,T,W,TH,F","M,W,F 10:00AM-11:00AM",47.4055258,-122.2547107
Kent-Meridian High School,Open,WA,"10020 256th St, Kent, WA ",,"M,T,W,TH,F","M,W,F 10:00AM-11:00AM",,
Kentridge High School,Open,WA,"12430 208th St, Kent, WA ",,"M,T,W,TH,F","M,W,F 10:00AM-11:00AM",47.4158272,-122.1760204
Neely-O’Brien Elementary,Open,WA,"6300 236th St, Kent, WA ",,"M,T,W,TH,F","M,W,F 10:00AM-11:00AM",47.3900646,-122.1775933
Benson Hill Elementary,Open,WA,"18665 116th Ave, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Bryn Mawr Elementary,Open,WA,"8212 118th St, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Campbell Hill Elementary,Open,WA,"6418 124th St, Renton, WA 98058",98058,"M,T,W,TH",11am-12pm,47.460542,-122.1734845
Cascade Elementary,Open,WA,"16022- 116th Ave, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Creston Point Apartments,Open,WA,"13445 Martin Luther King Jr Way, Renton, WA ",,"M,T,W,TH",11am-12pm,47.4817381,-122.2444703
Dimmit Middle School,Open,WA,"12320- 80th Ave, Renton, WA 98059",98059,"M,T,W,TH",11am-12pm,47.5309433,-122.1363002
Green Tree/ Park Hill Apartments,Open,WA,"6900 125th St, Renton, WA 98058",98058,"M,T,W,TH",11am-12pm,47.4512866,-122.1752999
Hazelwood Elementary,Open,WA,"7100- 116th Ave, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Hazen High School,Open,WA,"1101 Hoquiam Ave, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Highlands Elementary,Open,WA,"2720 7th St, Renton, WA ",,"M,T,W,TH",11am-12pm,47.4946699,-122.1665811
Honey Dew Elementary,Open,WA,"800 Union Ave, Renton, WA 98057",98057,"M,T,W,TH",11am-12pm,47.4869893,-122.2073427
Kennydale Elementary,Open,WA,"1700 28th St, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Lakeridge Elementary,Open,WA,"7400 115th St, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Lindbergh High School,Open,WA,"16426-128 th Ave, Renton, WA ",,"M,T,W,TH",11am-12pm,47.4796927,-122.2079218
Maplewood Heights Elementary,Open,WA,"130 Jericho Ave, Renton, WA ",,"M,T,W,TH",11am-12pm,,
McKnight Middle School,Open,WA,"1200 Edmonds Ave, Renton, WA 98056",98056,"M,T,W,TH",11am-12pm,47.5046863,-122.1856056
Nelsen Middle School,Open,WA,"2403 Jones Ave, Renton, WA 98055",98055,"M,T,W,TH",11am-12pm,47.4647897,-122.1960711
Renton High School,Open,WA,"400 2nd St, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Renton Park Elementary,Open,WA,"16828- 128th Ave, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Risdon Middle School,Open,WA,"6928 116th Ave, Renton, WA ",,"M,T,W,TH",11am-12pm,,
Royal Hills Apartments,Open,WA,"3000 Royal Hill Dr, Renton, WA ",,"M,T,W,TH",11am-12pm,47.4686225,-122.1792143
Sartori Elementary,Open,WA,"332 Park Ave, Renton, WA 98056",98056,"M,T,W,TH",11am-12pm,47.5068943,-122.2020264
Sierra Heights Elementary,Open,WA,"2501 Union Ave, Renton, WA 98057",98057,"M,T,W,TH",11am-12pm,47.4869893,-122.2073427
Stonebrook Apartments,Open,WA,"12210 Petrovitsky Rd, Renton, WA ",,"M,T,W,TH",11am-12pm,47.4462239,-122.1571875
Talbot Hill Elementary,Open,WA,"2300 Talbot Rd, Renton, WA 98055",98055,"M,T,W,TH",11am-12pm,47.444455,-122.2114123
Talley High School,Open,WA,"7800 132nd St, Renton, WA 98059",98059,"M,T,W,TH",11am-12pm,47.4846637,-122.1323695
Tiffany Park Elementary,Open,WA,"1601 Lake Youngs Way, Renton, WA 98058",98058,"M,T,W,TH",11am-12pm,47.4277945,-122.1448642
Creston Point,Open,WA,"13445 Martin Luther King Jr Way, Renton, WA ",,"M,T,W,TH",11am-12pm,47.4817381,-122.2444703
Green Tree/Park Hill,Open,WA,"6900 125th St, Renton, WA 98058",98058,"M,T,W,TH",11am-12pm,47.4512866,-122.1752999
Plum Tree Park,Open,WA,"200 5th Pl, Renton, WA ",,"M,T,W,TH",11am-12pm,47.490592,-122.154209
